id,Literal,y_category
1920,K. Pneumoniae,B
1921,estancamiento pondoestatural,R
1922,SAG : Positivo,O
1923,cataratas,H
1924,Gammagrafía pulmon,C
1925,Retraso de crecimiento intrauterino,O
1926,anemia 2,D
1927,35+2 semanas,Z
1928,mtx ganglionar cervical,1
1929,FRACTURAS COSTALES MÚLTIPLES IZQUIERDAS,0
1930,colestasi,5
1931,hipotir part,O
1932,Escleros multiple parto,O
1933,paraparesia,G
1934,punción dural,3
1935,Covid19 negativo,Z
1936,Síndrome de Apnea-Hipopnea del Sueño grave,G
1937,NEOPLASIA MALIGNA DE ENDOCERVIX,C
1938,HISTERECTOMÏA TOTAL,0
1939,accidente,E
1940,postquimioterapia,9
1941,poliquistosis HEPÁTICA,Q
1942,reflujo gastro-esofágico,K
1943,Cardiopatia isquèmica crònica,I
1944,Hipercolesterolemia parto,E
1945,Ferinject,3
1946,MASTECTOMIA bilateral,0
1947,Grupo A +,Z
1948,bronquitis crónica,J
1949,Transtorono de ansiedad,F
1950,Insuficiencia renal crónica,5
1951,Chagas parto,B
1952,Adenomectomía retropúbica,0
1953,Carcinoma Ductal Infiltrante,8
1954,GS: O Rh positivo,Z
1955,deficit proteina s part,O
1956,reposición hidroelectrolítica,3
1957,ca ovari,1
1958,Hipotiroidisme part,O
1959,RECIEN NACIDO,Z
1960,Mioma,D
1961,asma part,O
1962,DIVERTICULITIS AGUDA,K
1963,Esquizofrenia,F
1964,hernia inguinal derecha,K
1965,GS: B positiu,Z
1966,ICTUS ACM IZQUIERDA,0
1967,páncreas divisum,5
1968,40 + 3,Z
1969,V50.42,Z
1970,Epoc aguditzat,J
1971,exfumadora,Z
1972,carcinoma coloide,8
1973,vulvectomia,0
1974,Carcinoma ovario bilateral,C
1975,Fibromas,9
1976,derrame pericárdico,I
1977,reside sola,Z
1978,monorrena qx,9
1979,40 +0 SG,Z
1980,biopsia renal izq,0
1981,estenosis de uretra,N
1982,POLIPOSIS NASOSINUSAL,4
1983,TVP femoro-poplitea izq,I
1984,gemelar BI-BI,6
1985,Historia de paratiroides,Z
1986,EPILEPSIA PARCIAL,G
1987,qt historia,Z
1988,desgarro perineal de segundo grado,O
1989,feto grande para edad getacional,O
1990,Diabetes Gestacional,O
1991,AMENAZA DE PARTO PREMATURO,O
1992,sangre oculta en heces,2
1993,18 sem,Z
1994,fibroleiomioma,8
1995,kiwi,1
1996,linfadenectomia pélvia,4
1997,Histerectomía vaginal,0
1998,Colitis ulcerosa PARTO,O
1999,DCR OI,0
2000,cesáreas anteriores,O
2001,Grupo sanguíneo materno: A+,Z
2002,Colestasis gravídica,6
2003,estafilorrafia,2
2004,Diabetes insípida,2
2005,GS O negativo,Z
2006,varices posparto,I
2007,Madre RH negativo,Z
2008,Emfisema,J
2009,Fibromialgia,M
2010,EXTRACCIÓN ESSURE,1
2011,otalgia derecha,M
2012,trombocitopenia parto,D
2013,ile,Z
2014,obesidad puerperal,E
2015,fibrilación auricular crónica,I
2016,INSTILACIÓN PERIOPERATORIA DE MMC,3
2017,40.5 semanas,Z
2018,Alérgica a penicilina,Z
2019,Metástasis pulmonar bilateral,C
2020,salpingitis aguda,N
2021,Oclusión intestinal,K
2022,trasplante renal,Z
2023,neoplasia mamaria bilateral,C
2024,csi,1
2025,ferinjet,O
2026,Intolerància a la lactosa,E
2027,HISTERECTOMIA total LAPAROSCÓPICA,0
2028,multigravida anteparto,6
2029,alergia polen,Z
2030,antibiticoterapia,3
2031,Adherencia parto,O
2032,Canalització via perifèrica,Y
2033,Historia de traumatismo craneoencefalico,Z
2034,Trastorno adaptativo,F
2035,distócia,6
2036,Desnutrici,E
2037,Hipotiroisimo parto,O
2038,neoplasia mamaria der,C
2039,procidencia de cordón,O
2040,N15.9,N
2041,rinovirus,B
2042,Convulsion febril,R
2043,recién nacido,Z
2044,TAC cerebral,B
2045,ECO testicular,8
2046,NST patológico,6
2047,HISTERECTOMIA TOTAL lap,0
2048,VIN III,2
2049,endometriosis,N
2050,tumorectomía mamaria derecha,0
2051,Anorexia nerviosa parto,F
2052,Intolerancia a la lactosa parto,E
2053,ECO abdomen,B
2054,Condromalacia rotuliana bilateral,M
2055,QT,Z
2056,obesidad anteparto,6
2057,fractura cranial,S
2058,Anexectomia bilateral laparoscópica,0
2059,Rx abdomen,B
2060,anemia macrocitica por deficit de folato,D
2061,colon irritable parto,K
2062,Mastitis crónica,N
2063,cerclaje cervical,0
2064,neoplasia de mama derecha,C
2065,etilismo,F
2066,DMAE,E
2067,Charcot Marie-Tooth parto,G
2068,weil izquierdo,0
2069,hTA gestacional anteparto,6
2070,esplenomegàlia,R
2071,testes en ascensor,Q
2072,SNG,0
2073,estenosis carotidea bilateral,I
2074,torticollis congènita,7
2075,Salbutamol,3
2076,diabetes gestacional ANTEPARTO,6
2077,Ileo paralitico qx,9
2078,doble anexectomia lap,0
2079,Hepatitis C crónica,B
2080,neumonía,4
2081,TUMORECTOMIA,8
2082,colelitiasis,K
2083,COVID: Negativo,Z
2084,HERNIA UMBILICAL,5
2085,GEU tubárico,O
2086,asma 3t,J
2087,hta irc,N
2088,Ecografía cervical,8
2089,carcinoma endometrioide,8
2090,Colecistitis aguda colelitias,5
2091,Cosanguinidad,Z
2092,Fumadora parto,O
2093,ESTENOSIS esofágica,4
2094,Colestasis parto,O
2095,Hipotiroidismo PARTO,O
2096,Prolapse rectal,3
2097,ulcus duodenal,K
2098,Sd ansioso depresivo,F
2099,rpbf,O
2100,quiste paraovárico derecho,N
2101,TPSV,4
2102,CoV2 historia,Z
2103,h avc,V
2104,Cistoadenoma seroso de ovario bilateral,8
2105,OXITÓCICA,3
2106,poliposis nasal,J
2107,BSGC,0
2108,Faringitis crónica,J
2109,DESVIACION SEPTAL,J
2110,desgarro grado 2º,0
2111,turbinoplastia,J
2112,VMNI,Z
2113,40 +6,Z
2114,Litiasis renal parto,N
2115,micoplasma,0
2116,vce,1
2117,caquexia,R
2118,FRACASO DE INDUCCION,O
2119,hpv,B
2120,O2 domiciliario,Z
2121,Sangrado pp,O
2122,Colestasis,K
2123,ca de endometrio,C
2124,historia Ca mama,V
2125,o negativo,Z
2126,Dexametasona,9
2127,Mioma anteparto,6
2128,TAC toraco,B
2129,CIN I parto,O
2130,Parto 41 semanas rn,Z
2131,Ferroterapia,3
2132,Epicondilitis codo derecho,M
2133,ASma,4
2134,Convulsions febrils atípiques,R
2135,MICROTIA,7
2136,tep,I
2137,"Trastorno Esquizoafectivo, tipo bipolar",F
2138,Alcohol ocasional,F
2139,cesareas anteriores,O
2140,Hepatopatia crónica,K
2141,Microcefàlia,Q
2142,sifilis parto,O
2143,epidural,3
2144,Sobreinfección respiratoria,5
2145,- D.Mellitus,E
2146,Aborto tardío,O
2147,NEOPLASIA MALIGNA DE OVARIO DERECHO,C
2148,extraccion catarata izquierda,H
2149,Hipertension,I
2150,diabetes gestacional rn,O
2151,v148,Z
2152,itu e.coli,B
2153,Linfadenectomía pélvica,4
2154,Bicitopenia,D
2155,Asma parto,O
2156,mioma,D
2157,urbason,9
2158,dificultad respiratoria rn,7
2159,TRASTORNO ANSIOSO DEPRESIVO,F
2160,antibótica,3
2161,prednisona,3
2162,Divertículos duodenal,K
2163,Dolor y distensión abdominal,R
2164,hiperplasia benigna de próstata,6
2165,Hipertiroidismo parto,O
2166,hematoma en herida quirúrgica,9
2167,Angor pectoris,4
2168,plasma,9
2169,maduracion pulmonar,3
2170,Staphylococcus epidermidis,B
2171,EA,T
2172,anticoagulado,Z
2173,Crisis comiciales,G
2174,anexectomía bilateral por laparoscopia,0
2175,acné conglobata,7
2176,Escoliosis idiopática,M
2177,part prematur,O
2178,hemorroides internas,4
2179,hiperinsulinismo congénito,2
2180,Carcinoma Seroso,8
2181,enterobacter cloacae,0
2182,BAV completo,I
2183,podàlica 1,O
2184,herpangina,I
2185,neuralgia del trigemino,G
2186,Nefrolitiasis izquierda,N
2187,Migraña con aura,G
2188,eco doppler tsa,B
2189,laceraciones en labios,0
2190,Prolapso de cordon,O
2191,tumorectomía mamam derecha,0
2192,fumadora part,O
2193,DRENAJE DE ABSCESO DE MAMA IZQUIERDA,0
2194,Gardnerella vaginalis,B
2195,historia paro cardiaco,Z
2196,Febricular part,R
2197,lavados vesicales,3
2198,Óbito fetal,O
2199,Asma part,O
2200,Alérgica a penicilinas,Z
2201,vomitos,R
2202,Ecografia abdominal,B
2203,VHC+,B
2204,Fibroadenoma mama derecha,D
2205,Apnea Obstructiva del sueño,G
2206,Esofagitis eosinófila,5
2207,IM ia,I
2208,Pseudomonas,0
2209,Grupo A +.,Z
2210,febre 2,7
2211,naloxona,3
2212,adenocarcinoma mucinoso,8
2213,o30042,6
2214,Miopia parto,6
2215,Hipotiroidismo,E
2216,Mastectomia total izq,0
2217,linfadenectomia pelvica,4
2218,adenitis cervical,2
2219,hernia hiato,K
2220,41 sem,Z
2221,Convulsión febril tipica,R
2222,Padres separados,Z
2223,migraña parto,G
2224,Broncoaspiración,5
2225,Útero bicorne parto,O
2226,taquicardia parto,O
2227,Distrofia muscular de Thomsen,7
2228,Brucelosis historia,Z
2229,adenocarcinoma endometrial,C
2230,Escoliosis,M
2231,QUISTE ANEXIAL IZQUIERDO,N
2232,Pielonefritis aguda rn,P
2233,bronquitis rinovirus,J
2234,parto 41 semanas,Z
2235,ABSCESO DE MAMA DERECHA,N
2236,retinopatía diabética,E
2237,foramen oval,Q
2238,intubación,9
2239,COLOSTOMÍA,V
2240,Traqueostomizada,V
2241,rao posparto,O
2242,DISLIPEMIAS,2
2243,Moraxella catarrhalis,B
2244,Fumadora 3T,O
2245,linfocitosis,D
2246,Deshidratación,E
2247,Sinusitis maxilar izquierda,4
2248,Broncoespasmo,J
2249,Sindorme ansioso depresivo,F
2250,Síndrome d'Ehlers-Danlos,3
2251,Adenoma adrenal derecho,0
2252,extraccion de restos,O
2253,Historia de Litiasi renal,Z
2254,htp,I
2255,Úlceras gástricas parto,O
2256,Cifoscoliosis,M
2257,Anti-d,3
2258,Staphylococcus hominis,B
2259,endometriosis parto,O
2260,fuma,3
2261,fallo renal agudo,N
2262,Hemoperitoneo post punción folicular,5
2263,Ecografía renal,B
2264,embassament pleural,J
2265,Anexectomía derecha lap,0
2266,Ca de Mama Izquierda,C
2267,síndrome de marfan,Q
2268,CIN I,N
2269,válvula mecanica,9
2270,Mastectomía bilateral,0
2271,dolicosigma,Q
2272,HIPERTENSIÓN,I
2273,ANEXECTOMIA BILATERAL LAPAROSCÓPICA,0
2274,hipotiroidismo part,O
2275,depresion parto,F
2276,resección ileocólica,Z
2277,celulitis eid,L
2278,INJERTO CRESTA ILIACA,T
2279,PNA 3t,O
2280,Fibrilacion Auricular Paroxistica,I
2281,ca mama der,C
2282,Q61.4,F
2283,coagulopatia,D
2284,diabetes insipida,2
2285,Adenocarcinoma seroso,8
2286,DOBLE SALPINGUECTOMÍA LAPAROSCÓPICA,0
2287,Artritis psoriasica,L
2288,Enfermedad de von Willebrand,2
2289,CIRROSI HEPÀTICA,5
2290,Analgésicos,3
2291,Rosácea parto,O
2292,biopsia selectiva de gangli sentinella,4
2293,Obesitat mòrbida,E
2294,covid negativo,Z
2295,Aborto tardío,O
2296,asma alergica,Z
2297,Colocación de malla umbilical,0
2298,CATÉTERES DOBLE J BILATERALES,5
2299,Trastorno ansioso-depresivo,F
2300,ADK pròstata,1
2301,Rpm,O
2302,AngioTAC torácico,B
2303,BSGC,0
2304,arcinoma ductal infiltrante,8
2305,Quistectomía Ovario izq laparoscopia,0
2306,rehidratación,O
2307,LAM,3
2308,Insuficiencia renal aguda,5
2309,Síndrome constitucional,R
2310,Obesidad mórbida parto,E
2311,ROTURA MENISCo EXTERNo rodilla izq,M
2312,Bronquitis aguda VRS positiva,J
2313,historia muerte neonato,Z
2314,40.2,Z
2315,facoemulsificación derecho,0
2316,Sangrado post amigdalectomía,2
2317,PERINEOPLASTIA,0
2318,quiste folicular ovari,6
2319,Enfisema pulmonar,J
2320,implantes dentales,8
2321,Retirada de prótesis,Z
2322,Trabeculectomía OD,0
2323,Recambio de expansor mama izquierda,0
2324,Historia de AdenoCa de próstata,Z
2325,Anemia ferropénica anteparto,2
2326,HPL,B
2327,Insuficiencia renal crónico estadio III,N
2328,retención placentaria.,O
2329,obesidad mórbida part,O
2330,Grupo 0 NEGATIVO,Z
2331,Bronconeumonía,J
2332,ANEMIA PUERPERAL,O
2333,Radiografíade tórax,B
2334,NEFROSTOMIA IZQUIERDA,0
2335,DISLIPÈMIA,2
2336,Ca de mama uc,1
2337,hipergammaglobulinemia,D
2338,baloncesto,Y
2339,acidosi metabòlica,E
2340,histeroscopia quirurgia,0
2341,Grupo materno B positivo,Z
2342,lèrgia penicil,Z
2343,Marcapasos,Z
2344,buf sistòlic,4
2345,metrorragia postmenopaúsica,N
2346,Histeroscopia Quirúrgica,0
2347,Ecografía vía urinaria,B
2348,Tabaco parto,O
2349,Talasemia minor part,D
2350,Nebulización,3
2351,síndrome ansioso-depresivo parto,F
2352,HEPATITIS CRÓNICA VHC,B
2353,hta irc 6 icc,I
2354,hernia umbilical,5
2355,Re positivos,Z
2356,S. aureus,B
2357,Alérgico a metamizol,Z
2358,O2 DOMICILIARIO,Z
2359,Artropatia lumbar,M
2360,METRORRAGIA,N
2361,ca mama izq cse,C
2362,Fibrilación auricular persistente,I
2363,Artritis Reumatoide parto,M
2364,proctitis,5
2365,adenosis mama derecha,N
2366,iot,9
2367,Aborto séptico incompleto,O
2368,Administración de QUimioterapia,V
2369,Riesgo Social,Z
2370,anexectomía bilateral vía laparoscópica,0
2371,fallo de inducción.,O
2372,38.6 semanas,Z
2373,Grupo sanguíneo 0 Rh positivo,Z
2374,deshidratación,E
2375,Alergías alimentos,Z
2376,Celiaquía part,K
2377,fuamdora parto,F
2378,Deficit de factor VII,D
2379,Pneumònia,J
2380,Paraplejia,G
2381,sangrado post quirurgico,N
2382,quiste ovario der,N
2383,Electromiograma,4
2384,HBA,4
2385,Trastorno esquizoafectivo bipolar,F
2386,Pseudoartosis de escafoides derecho,M
2387,migraña part,O
2388,Alérgica a Dexketoprofeno,Z
2389,residencia,Z
2390,Atrofia renal,N
2391,alergia aas,Z
2392,Microlitiasis renales,N
2393,expansor MAMA IZQUIERDA,0
2394,obesidad parto,Z
2395,Hipertiroidismo parto,O
2396,Tía materna cáncer de mama,C
2397,CATARATA OI,H
2398,piometra,N
2399,39 +0 semanas,Z
2400,Alergias medicamentosas: Nolotil,V
2401,A .: NEGATIVO,Z
2402,Hipoparatiroidismo parto,E
2403,Desgarro grado 1,0
2404,Intolerància osteosíntesi,E
2405,Tiroiditis de Hashimoto,2
2406,Histerectomía,0
2407,Hipertrigliceridemia,2
2408,mola parcial,O
2409,Metrorragia post-parto,O
2410,Pleurodesis,Z
2411,cmv,O
2412,Quiste de Bartholino,N
2413,Insuficiencia tricuspidea,I
2414,asma part,O
2415,Feto muerto anteparto,6
2416,Versión cefálica externa,1
2417,Corioamnionitis,O
2418,vrs,0
2419,antibioticos,3
2420,anemia posparto,O
2421,QUISTE SEBÁCEO,N
2422,vertigo posicional,R
2423,BGN,0
2424,LINFADENECTOMIA PARAAÓRTICA,4
2425,Celiaquia parto,K
2426,ptr bialteral,6
2427,soplo sistólico,R
2428,Cesárea iterativa,O
2429,Hernia inguinal derecha incarcerada,K
2430,migrañas part,G
2431,Ex fumadora,Z
2432,TORACOCENTESIS,0
2433,vm 1,5
2434,GEU derecho,O
2435,lc 13 mm,0
2436,gonartrosis derecha,M
2437,Obesidad PART,Z
2438,artritis,M
2439,Sjogren parto,M
2440,Anemia part,D
2441,FUMADORA,F
2442,Punción amigdalar,4
2443,Espondilitis Anquilosante,M
2444,LITIASIS VESICAL,0
2445,Hipertrofia prostática benigna,N
2446,Trauma dent,8
2447,Hipertrofia amigdalar,4
2448,desbridamiento pierna izquierda,0
2449,Diabetes mellitus tipo I,E
2450,Esofagitis grado A,K
2451,reacción eritematosa,9
2452,historia carcinoma basocelular,V
2453,candidiasis vaginal parto,B
2454,IMC 36,Z
2455,Mioma PARTO,O
2456,Fibril·lació auricular,4
2457,Fimosi,6
2458,Analgésia,3
2459,Fiebre,R
2460,Herpes Zoster parto,O
2461,Fototerapia,6
2462,Fisura anal,K
2463,Estreñimiento,K
2464,parálisis facial,G
2465,cistoprostatectomía radical laparoscopica,0
2466,Quistectomia ovario derecho,0
2467,Malaltia inflamatoria pélvica,N
2468,Hipertiroidismo parto,O
2469,hepáticas,C
2470,ITUs a repetición,Z
2471,Cotiledón aberrante,O
2472,desprendimiento parcial de placenta,O
2473,pielonefritis de repetición,Z
2474,LLA,2
2475,Migraña,G
2476,gestación gemelar,6
2477,Demencia Senil,2
2478,febril 2,R
2479,histerectomía total lap,0
2480,hepatomegàlia,R
2481,SONDA NASOGASTRICA,0
2482,micrognatia,7
2483,von Willebrand parto,O
2484,Espondiloartrosis,M
2485,ecografía renal,B
2486,GS A +,Z
2487,RECEPTORES DE ESTRÓGENOS: NEGATIVOS,Z
2488,Blefaritis crónica,H
2489,fiebre postparto,O
2490,34+1 semanas,Z
2491,bacterioides fragilis,0
2492,gestación gemelar bicorial biamniótica,O
2493,Hipertensión arterial irc,4
2494,Historia de TROMBOFLEBITIS,Z
2495,obesidad parto,Z
2496,coartacio aortica,I
2497,metrorragia postmenopausia,N
2498,faringoscopia,2
2499,anemia ferropénica part,O
2500,ESTENOSIS LUMBosacra,M
2501,Alergica a Ibuprofeno,Z
2502,atelectàsia,J
2503,linfadenectomia axilar izda,0
2504,GsRH: O positivo,Z
2505,VARÓN,Z
2506,Protrusión discal,M
2507,Linfadenectomia pélvica,4
2508,TC abdominal,B
2509,parkinson,G
2510,restes ovulars,O
2511,ADENOCARCINOMA MUCINOSO,8
2512,Nòduls pulmonars migratorios,J
2513,aLÈRGIES AINEs,Z
2514,hmd,D
2515,amniocentesi,7
2516,HIPERTROFIA ADENOAMIGDALAR,4
2517,A POSITIVO,Z
2518,Bronquitis VRS,J
2519,Adenopatías laterocervicales,R
2520,Silla de ruedas,Z
2521,Alergia a Penicilinas,Z
2522,Cáncer de mama bilateral,C
2523,Nefrectomía radical dreta laparoscópia,0
2524,GSRH: O (+),Z
2525,HIPOACUSIA,H
2526,40+1 semanas,Z
2527,MIELOPATÍA CERVICAL,M
2528,Urocultivo,N
2529,Útero miomatoso,D
2530,Fibrilació auricular,I
2531,parto estacionado,O
2532,Gestación ectopica,O
2533,Parto,O
2534,Síndrome Ansioso- Depresivo,3
2535,fuma parto,O
2536,LINFADENECTOMÍA PARA-AÓRTICA,0
2537,Hellp,O
2538,presentación de pie,O
2539,Cesárea anterior,O
2540,hta ICC,I
2541,GS: O (+),Z
2542,MACROSOMÍA FETAL,O
2543,Cancer de mama,C
2544,Deterioro de la función renal,N
2545,IRenal crónica,N
2546,Espondilitis anquilosante,M
2547,IMC 37,Z
2548,miomatosis uterina,D
2549,PCR-SARS-COV-2: negativo,Z
2550,GS 0 Positivo,Z
2551,Grupo sanguíneo materno: 0 rh positivo,Z
2552,Palpitaciones,7
2553,hemihipoestesia,7
2554,Paràlisi cerebral,G
2555,metrorragias,6
2556,Trastorno depresivo/adaptativo,F
2557,quiste seroso ovárico derecho,N
2558,ANEXECTOMÍA BILATERAL lap,0
2559,ECOGRAFÍA DE ABDOMEN,B
2560,radiografa cadera izquierda,B
2561,Parche hemático,3
2562,cefalea postpunción dural,3
2563,utero miomatoso,D
2564,insuficiencia renal aguda,5
2565,Ecografía : Feto,B
2566,Bradicardia fetal,O
2567,anemia postparto,O
2568,bronquiolitis VRS positiva,J
2569,Enfisema centrolobulillar,J
2570,Gestación BC/BA,O
2571,cambio de sonda de gastrostomía,Z
2572,MIOMECTOMIA POR LAPAROSCOPIA,0
2573,pérdida de consciencia,R
2574,Amniorrexis: artificial,1
2575,hipertrigliceridemia,2
2576,hipertrofia miometrial difusa,4
2577,Grupo sanguíneo materno AB+,Z
2578,Hipertensión arterial,4
2579,Sangrado postconización,N
2580,strip II grado,O
2581,nasofibrolaringoscopia,3
2582,VIH,Z
2583,VHB,B
2584,Síndrome intestino irritable,K
2585,proteïnúria,R
2586,Diabetes mellitus I,E
2587,Histerectomía total,0
2588,polipo endometrio,0
2589,CARCINOMA INTRADUCTAL,8
2590,ecografia torácica,B
2591,Hipercalciuria,E
2592,GS: O +,Z
2593,ECO gemelos 2t,B
2594,41 +4 semanas,Z
2595,EMESIS GRAVIDICA,O
2596,accidente de moto,E
2597,mtx adk,1
2598,Esofagitis eosinofilia,K
2599,Dolor toràcic no especificat,R
2600,MICROCIRUGIA LARINGEA,0
2601,Rotura uterina PARTO,O
2602,Virus hepatitis B,B
2603,colelitiasis,K
2604,770.89,P
2605,Nódulos tiroideos,2
2606,distocia de rotación,O
2607,Hipotiroïdisme,E
2608,Sepsis,0
2609,HipotiroidiSMO PART,O
2610,Hipopotasemia,E
2611,sutura desgarro,0
2612,Amniorrexis espontánea 1,O
2613,SINUSITIS MAXILAR IZQUIERDA,4
2614,Resonancia magnética cerebro,B
2615,residencia,Z
2616,GEU izquierda,O
2617,Fractura 1/3 medio Clavícula Derecha,S
2618,anemia Puerpera,Z
2619,om,2
2620,intoxicación enólica,F
2621,ILE) por trisomía,O
2622,deposiciones diarreicas,R
2623,Gemelar anteparto,6
2624,depresivo,F
2625,salpinguectomía izquierda,0
2626,oxigeno crónico domiciliario,Z
2627,epiléptica tonico-clonicos,G
2628,podalica 2,O
2629,miomas intramurales,D
2630,35+5 semanas,Z
2631,ca urotelial,8
2632,Hipertensión Insufiencia renal crónica estadio 3,I
2633,amniorrexis espontánea,O
2634,S.Aureus,B
2635,deficit factor v,D
2636,Hallux valgus der,0
2637,Hierro,9
2638,PTC Izquierda,Z
2639,leucocitosi,2
2640,cierre de gastrostomía,Z
2641,retención de membranas,O
2642,Hernia inguinal izquierda recidivada incarcerada,5
2643,Colecistectomía laparoscópica,5
2644,crisis asmàtica,J
2645,Malaltia de Crohn,K
2646,RE positivo,Z
2647,Hipercolesterolemia,E
2648,anexectomía izquierda 2,0
2649,"Grupo sanguíneo: A, Rh POSITIVO",Z
2650,Colitis ulcerosa pancolitis,K
2651,laminectomía,0
2652,Hipotiroididmo part,O
2653,cpap 1,5
2654,28 SEM,Z
2655,GS O (+),Z
2656,Anexectomía bilateral laparoscópica,0
2657,hemoptisis,7
2658,DLp,E
2659,Disfonia,R
2660,Urocultivo positivo,N
2661,Rotura Prematura de Membranas 1,O
2662,infarto placentario,O
2663,Grupo sanguíneo materno: B Rh,Z
2664,Anexectomía bilateral por laparoscopia,0
2665,IAM,4
2666,miomectomia,0
2667,Glicemia basal alterada,R
2668,Alergia a AINES,Z
2669,617.0,N
2670,Endometriosis trompa,6
2671,BRD+HBAI,4
2672,RTU prostática,Z
2673,varices,I
2674,CATETERISMO ureteral IZQUIERDO,3
2675,Policitemia Vera,9
2676,Neurofibromatosis tipo I,Q
2677,Desgarro II grado,0
2678,preeclampsia gravedad,O
2679,Alergias: parietaria,Z
2680,Radiografía abdomen,B
2681,dislipémica,E
2682,Microcirugia laringe,3
2683,TC toràcica,B
2684,Sindrome de Noonan,Q
2685,Dispepsia,K
2686,Adenofibroma seroso,8
2687,cordón corto parto,O
2688,Amputación supracondilea,Z
2689,Rubeola : NEGATIVO,Z
2690,recambio de catéter doble j izquierdo,0
2691,COXARTROSIS DCHA,M
2692,rpm prematuro,O
2693,a pòs,Z
2694,Tendinitis de Quervain,7
2695,condiloma vagina,0
2696,Nefrolitiasis,N
2697,Crisis convulsivas rn,R
2698,Glaucoma bilateral,H
2699,granuloma,K
2700,Polipectomía endometrial,0
2701,Hernia discal part,M
2702,augmentine,9
2703,punción lumbar,0
2704,HemIcolectomía,Z
2705,HIPOTIROIDISMO parto,O
2706,MAO,I
2707,AngioTC toracico,B
2708,Diverticulosis colónica,K
2709,Perforación timpanica,3
2710,Feto pequeño para edad gestacional,O
2711,metrorràgia 2t,O
2712,Condilomas parto,O
2713,Bocio multinodular parto,O
2714,traqueoscopia,3
2715,medicamento,V
2716,Trastorno depresivo,F
2717,Polipnea rn,P
2718,Trastorno autista,F
2719,Ductus arterioso permeable,Q
2720,fad,9
2721,xarelto,Z
2722,queilorrinoplàstia,2
2723,caída por las escaleras,W
2724,preeclampsia grave,O
2725,Alérgica a ibuprofeno,Z
2726,hernioplastia inguinal bilateral,0
2727,desgarro perineal,O
2728,profiláctica ovario,V
2729,cocaina parto,O
2730,c541,Z
2731,K21.9,N
2732,hidrocefalia,3
2733,OLigoamnios,O
2734,sv jose,O
2735,Ecografía testicular,8
2736,Ulceració vulvar,0
2737,Anemización severa,D
2738,Cateterismo ureteral izquierdo,3
2739,Ecocardiografía,B
2740,legrado obstetrico evacuador,1
2741,Artrodesis,Z
2742,ECO 2,B
2743,Anemia pOSPARTO,O
2744,nalgas,1
2745,37+5 SEMANAS,Z
2746,GS:AB+,Z
2747,les parto,O
2748,vaginitis parto,O
2749,Gammagrafia,C
2750,prótesis de cadera derecha,Z
2751,cdis,8
2752,40 +5 semanas,Z
2753,vòmit,R
2754,Retirada de cerclaje cervical,0
2755,Rx tòrax,B
2756,Estenosis aórtica,I
2757,IMC 46,V
2758,Se extrae coagulo,1
2759,gentamicina,3
2760,Dextrocàrdia,Q
2761,rotavirus,A
2762,Colitis de probable etiologia infecciosa,0
2763,Deficit acido folico,E
2764,Esterilidad,N
2765,EXPANSOR mama bilateral,0
2766,Carcinoma in situ mamella,8
2767,Trastorno de conducta,F
2768,desgarro 1,O
2769,multipara,6
2770,CoVid part,U
2771,hemofilia B parto,O
2772,lipodistrofia,2
2773,DM 1 parto,E
2774,CATETER VENOSO CENTRAL,0
2775,Gammagrafía pulmonar,C
2776,MIOMATOSO,2
2777,ABORTO TARDÍO,O
2778,OSTEOPOROSI,M
2779,Tabaquismo parto,F
2780,Asperger,5
2781,"Grupo sanguíneo: 0, +",Z
2782,Legrado obstétrico evacuador,1
2783,talassemia minor part,O
2784,oblicua,1
2785,Alergico a penicilina,Z
2786,Deterioro cognitivo ligero,F
2787,leiomiomas intramurales,D
2788,Incontinencia fecal y urinaria,R
2789,v12.59,Z
2790,colitis ulcerosa,K
2791,ALERGIA PENICILINA,V
2792,podálica gemelos,6
2793,re -,V
2794,Pneumònia NEUMOCOCO,J
2795,PTR izq cementada,0
2796,diverticulosis parto,K
2797,rectorragia post-polipectomía,V
2798,GS AB (+),Z
2799,Anemia feropenica,D
2800,Migrañas con aura part,G
2801,TAC-TAP,B
2802,quemadura 10,T
2803,INSUFICIENCIA AORTICA,I
2804,Mioma part,D
2805,Dolor toracic atipic,R
2806,ascitis,R
2807,Canal lumbar estrecho,M
2808,tto,3
2809,RE NEGATIVOS,Z
2810,Tos,R
2811,COLOCACIÓN DE MALLA PARA INCONTINENCIA TIPO ATOMS,7
2812,HIERRO IV,3
2813,hta irc 6,N
2814,Hipercolesterolèmia parto,E
2815,prótesis mamaria,Z
2816,quistes de Naboth,N
2817,Depresion y ansiedad,F
2818,RGE part,K
2819,Microcefalia,Q
2820,retraso pondoestatural 2,R
2821,reconstrucción mamaria,8
2822,alprazolam,3
2823,cervix corto,O
2824,Trastorno Adaptativo con Ansiedad,F
2825,hta irc icc,I
2826,Tacto rectal,3
2827,Asma bronquial leve,J
2828,Litiasis ureteral derecha,N
2829,Trastorno depresivo con síntomas psicóticos,F
2830,cefalea post punción lumbar,0
2831,fiebre posparto,O
2832,Adenopaties retroperitoneals,7
2833,38.3 semanas,Z
2834,Aplastamientos vertebrales,7
2835,Fumador,F
2836,deterioro cognitivo severo,F
2837,fallo induccion,3
2838,anexectomia esquerra lap,0
2839,Diabetes Gestacional rn,O
2840,Hipoacussia neurosensorial bilateral,H
2841,bronquiolitis aguda,J
